"oney_with","CU"
"oney_credit_card","CARDUL </br>BANCAR DE DEBIT"
"Pay in","PLĂTEȘTE ÎN"
"Without fee","GRATUIT"
"Oney is the solution","Soluție de creditare simplă și rapidă"
"Pay in %1 free","PLATA ÎN RATE GRATUITĂ"
"with your credit card","PRIN CARD BANCAR DE DEBIT"
"Choose","ALEGE"
"Simple and safe","în momentul plății"
"Confirm your purchase and select %1 Oney for payment.",""
"Or","Sau"
"We only ask you for some information","SPUNE-NE DESPRE TINE"
"Complete your request easily and with a few clicks.","Completează formularul nostru"
"You have an immediate response.","ȘI GATA !"
"We will get back to you right away.","Primești un răspuns imediat"
"Pay in %1 free","PLATA ÎN RATE GRATUITĂ"
"Pay in %1","PLATA ÎN RATE CU COSTURI NESEMNIFICATIVE"
"Simulation Pay in %1","PLATA ÎN RATE CU COSTURI NESEMNIFICATIVE"
"Or pay in","SAU PLĂȚIȚI ÎN"
"First payment :","Prima rată de plătit astăzi :"
"Following %1 mensualities :","Urmată de %1 rate de :"
"Total :","Total :",module,Oney_ThreeByFour
"Credit cost included :","Incluzând costul creditului de :"
"TAEG:","DAE:"
"Learn more","Află mai multe"
"or,"sau",
"Or pay in %1","PLATA DIFERITĂ CU"
"by credit card","CARDUL BANCAR"
"oney_simulation_text","Prima rată de <strong>%1</strong> urmată de <strong>%2</strong> rate de <strong>%3</strong></br>Total: <strong>%4</strong> (incluzând costul creditului de <strong>%5</strong>), <span class='taeg-oney'>DAE: %6%</span>"
"legal_text_payment","Prin selectarea acestei soluții de creditare, sunteți de acord ca informațiile dvs. personale să fie trimise către Oney Bank pentru analiza cererii dvs. de credit. Pentru mai multe informații despre 4XOney, dați clic <span class='open-pedagogique_modal'>aici</span>."
"with credit card","PRIN CARD BANCAR DE DEBIT"
