"Or pay in %1","pagamento in %1 rate"
"Or pay in","O paga in"
"by credit card","con carta di credito"
"and a commission of","più una commissione di"
"applied to the first payment","applicata sulla prima rata"
"Or","oppure"
"with your credit card","con Carta di Credito"
"Oney is the solution",""
"Pay in","Paghi in"
"Pay in %1","Paghi in %1"
"Pay in %1 free","Paghi in %1"
"with credit card","con carta di credito"
"oney_with","con"
"oney_credit_card","carta <br/>di credito"
"Simple","Semplice"
"& fast","& Veloce"
"<div class='oney-payment-logo'></div><div class='oney-facilypay-text'>3x 4x ONEY: The buyer journey has never been that easy before! A payment solution in 3 or 4 instalments by credit card, simple, fast, convenient and secure, available on more than 450 online stores.</div>","<div class='oney-payment-logo'></div><div class='oney-facilypay-text'>3x4x ONEY: I VOSTRI CLIENTI NON POTRANNO PIÚ FARNE A MENO! Una soluzione di finanziamento in 3 o 4 rate con carta di credito, 100% digitale, semplice,sicuro e in pochi click!</div>"
"Without fee","Nessuna commissione"
"Oney is the solution","Soluzione di pagamento semplice & veloce"
"Conditions necessary to request %1 Oney","Condizioni necessarie per richiedere 3x4x Oney"
"Financing solution reserved for natural persons of legal age and resident in %1","Soluzione di finanziamento riservata a persone fisiche maggiorenni e residenti in %1"
"Use a credit or debit card, Visa or MasterCard, issued by an Italian banking / financial intermediary, with the exception of all virtual, prepaid and rechargeable credit cards","utilizzare una carta di credito o debito, Visa o MasterCard, emessa da un intermediario bancario / finanziario italiano, ad eccezione di tutte le carte e di credito virtuali, prepagate e ricaricabili"
"The credit card must have a residual validity of at least two months compared to the maximum duration of the chosen %1 Oney loan","La carta di credito deve avere una validità residua superiore ad almeno due mesi rispetto alla durata massima del finanziamento 3x4x Oney prescelto."
"Commissions applied to the customer","Commissioni applicate al cliente"
